,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
0,Bergen County,NJ,New York-Newark-Jersey City,,,,,3283.3333333333335,3400.625
1,Essex County,NJ,New York-Newark-Jersey City,,,,,1668.8333333333333,1756.2083333333333
2,Hudson County,NJ,New York-Newark-Jersey City,,,,700.0,2609.1666666666665,2341.4166666666665
3,Monmouth County,NJ,New York-Newark-Jersey City,,,,,3014.5833333333335,3483.3333333333335
