,RegionName,State,Metro,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
53,Bergen County,NJ,New York-Newark-Jersey City,1750.0,1700.0,1835.0,1875.0,2000.0,2100.0,2122.5,2400.0,2250.0,2185.0,2150.0,2197.5,2200.0,2200.0,2250.0,2250.0,2500.0,2600.0,2500.0,2400.0,2485.0,2400.0,2350.0,2425.0,2485.0,2500.0,2500.0,2500.0,2600.0,2525.0,2600.0,2500.0,2500.0,2492.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2525.0,2600.0,2575.0,2500.0,2500.0,2400.0,2387.5,2400.0,2400.0,2450.0,2450.0,2532.5,2750.0,2800.0,2800.0,2850.0,2700.0,2540.0,2600.0,2600.0,2450.0,2400.0,2500.0,2600.0,2800.0,2800.0,2850.0,2775.0,2650.0,2600.0,2650.0,2700.0
63,Middlesex County,NJ,New York-Newark-Jersey City,1900.0,1900.0,1900.0,1900.0,1995.0,1950.0,1950.0,2000.0,1950.0,1975.0,1950.0,1950.0,1950.0,1950.0,1900.0,1950.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1962.5,1975.0,2000.0,2000.0,2012.5,2000.0,2067.5,2085.0,2050.0,2100.0,2000.0,2000.0,2000.0,2050.0,2100.0,2100.0,2050.0,2100.0,2095.0,2150.0,2070.0,2150.0,2100.0,2125.0,2100.0,2100.0,2200.0,2195.0,2150.0,2200.0,2200.0,2250.0,2250.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2100.0,2185.0,2200.0,2200.0,2250.0,2200.0,2175.0,2200.0,2200.0,2200.0
72,Essex County,NJ,New York-Newark-Jersey City,1375.0,1350.0,1350.0,1300.0,1300.0,1350.0,1350.0,1350.0,1300.0,1400.0,1300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1600.0,1650.0,1550.0,1525.0,1500.0,1450.0,1450.0,1499.5,1500.0,1500.0,1550.0,1500.0,1500.0,1495.0,1500.0,1500.0,1500.0,1500.0,1550.0,1500.0,1500.0,1500.0,1550.0,1600.0,1500.0,1600.0,1700.0,1650.0,1500.0,1500.0,1600.0,1500.0,1600.0,1600.0,1650.0,1700.0,1795.0,1800.0,1750.0,1800.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1750.0,1800.0,1850.0,1800.0,1800.0,1825.0,1750.0,1750.0,1700.0
93,Hudson County,NJ,New York-Newark-Jersey City,1580.0,1580.0,1600.0,1700.0,1700.0,1650.0,1650.0,1700.0,1672.5,1700.0,1600.0,1585.0,1650.0,1600.0,1590.0,1595.0,1750.0,1800.0,1800.0,1750.0,1780.0,1700.0,1600.0,1700.0,1750.0,1800.0,1800.0,1950.0,1950.0,1900.0,2000.0,2000.0,2000.0,1950.0,1900.0,1900.0,1850.0,1850.0,1850.0,1900.0,1850.0,2000.0,1900.0,1895.0,2000.0,1980.0,1900.0,1975.0,1850.0,1975.0,1995.0,1980.0,1990.0,1995.0,2000.0,2000.0,2000.0,1900.0,1900.0,1895.0,1900.0,1850.0,1850.0,2000.0,2000.0,2000.0,1950.0,1995.0,2000.0,1998.0,1985.0,1990.0
94,Monmouth County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,2750.0,2600.0,2500.0,2400.0,2400.0,2400.0,2400.0,2500.0,2500.0,2700.0,3000.0,3000.0,3000.0,2600.0,2500.0,2395.0,2299.5,2300.0,2272.5,2500.0,2650.0,3000.0,3112.5,3100.0,2900.0,2600.0,2500.0,2400.0,2400.0,2500.0,2500.0,2600.0,2900.0,3000.0,3425.0,3400.0,3000.0,2800.0,2500.0,2500.0,2500.0,2500.0,2600.0
107,Ocean County,NJ,New York-Newark-Jersey City,1700.0,1650.0,1650.0,1700.0,1700.0,1700.0,1650.0,1625.0,1650.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1600.0,1600.0,1600.0,1550.0,1500.0,1500.0,1600.0,1650.0,1700.0,1650.0,1750.0,1700.0,1700.0,1650.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1700.0,1700.0,1700.0,1700.0,1750.0,1700.0,1650.0,1650.0,1675.0,1650.0,1695.0,1740.0,1750.0,1750.0,1750.0,1700.0,1750.0,1750.0,1750.0,1700.0,1700.0,1700.0,1750.0,1762.5,1800.0,1800.0,1800.0,1800.0,1750.0,1700.0,1725.0,1700.0
116,Union County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.5,2150.0,2000.0,2100.0,2200.0,1975.0,2000.0,2000.0,2150.0,2325.0,2300.0,2200.0,2250.0,2200.0,2197.5,2000.0,2000.0,1950.0,1975.0,1995.0,2000.0,2100.0,2150.0,2200.0,2300.0,2300.0,2300.0,2450.0,2400.0
125,Camden County,NJ,Philadelphia-Camden-Wilmington,1300.0,1250.0,1325.0,1350.0,1375.0,1350.0,1337.5,1300.0,1400.0,1400.0,1300.0,1400.0,1350.0,1325.0,1350.0,1350.0,1495.0,1500.0,1500.0,1400.0,1450.0,1400.0,1450.0,1400.0,1450.0,1500.0,1497.5,1500.0,1500.0,1500.0,1525.0,1497.5,1400.0,1400.0,1400.0,1350.0,1400.0,1450.0,1450.0,1450.0,1525.0,1500.0,1500.0,1500.0,1595.0,1500.0,1495.0,1450.0,1425.0,1500.0,1400.0,1500.0,1500.0,1490.0,1550.0,1500.0,1480.0,1500.0,1450.0,1475.0,1450.0,1437.5,1475.0,1400.0,1367.5,1500.0,1500.0,1525.0,1500.0,1500.0,1500.0,1500.0
127,Passaic County,NJ,New York-Newark-Jersey City,1450.0,1400.0,1400.0,1400.0,1600.0,1600.0,1500.0,1650.0,1600.0,1600.0,1600.0,1500.0,1500.0,1550.0,1600.0,1600.0,1662.5,1650.0,1600.0,1750.0,1750.0,1750.0,1750.0,1750.0,1700.0,1695.0,1625.0,1600.0,1575.0,1650.0,1795.0,1700.0,1700.0,1725.0,1700.0,1700.0,1700.0,1750.0,1700.0,1700.0,1750.0,1700.0,1700.0,1785.0,1750.0,1875.0,1700.0,1625.0,1680.0,1700.0,1650.0,1800.0,1800.0,1750.0,1750.0,1800.0,1800.0,1800.0,1850.0,1750.0,1725.0,1725.0,1750.0,1800.0,1875.0,1850.0,1900.0,1995.0,1925.0,1800.0,1750.0,1775.0
133,Morris County,NJ,New York-Newark-Jersey City,2100.0,2100.0,2200.0,2225.0,2300.0,2300.0,2300.0,2325.0,2300.0,2300.0,2300.0,2300.0,2250.0,2250.0,2200.0,2250.0,2500.0,2500.0,2400.0,2400.0,2350.0,2250.0,2362.5,2300.0,2300.0,2300.0,2400.0,2300.0,2450.0,2450.0,2450.0,2425.0,2350.0,2300.0,2400.0,2387.5,2400.0,2400.0,2400.0,2350.0,2300.0,2400.0,2425.0,2300.0,2450.0,2350.0,2350.0,2397.5,2350.0,2300.0,2400.0,2500.0,2562.5,2550.0,2550.0,2600.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2450.0,2500.0,2600.0,2600.0,2550.0,2595.0,2500.0,2500.0,2500.0
