"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",11,,,,,,1925,2198,1995,2200,2100,2147.5,1900,1897.5,1900,1995,1825,1850,1875,1850,1800,1895,1950,1950,1900,1835,1850,1750,1697,1750,1795,1750,1795,1700,1700,1690,1695,1695,1700,1700,1700,1700,1750,1775,1800,1797.5,1750,1745,1700,1750,1750,1750,1799.5,1795,1795,1800,1800,1795,1795,1800,1797.5,1799,1800,1835,1850,1995,1895,1895,1895,1837.5,1815,1895,1895,1900,1935,1932.5,1950,2000,1895,1995,1950,1920,1995,1895,1900,1995,2000,2100,2195,2100,2037.5,2012.5,2000,2000,2035,2055,2095,2095,2195,2295,2250,2200,2200,2200,2200,2200,2200,2200,2300,2195,2200,2395,2495,2495,2397.5
"King County","WA","Seattle-Tacoma-Bellevue","53","033",12,,,,,,,,,,,,,,2397.5,2300,2495,2462.5,2400,2389.5,2500,2500,2200,2300,2537.5,2500,2200,2249,1995,2272.5,2375,2395,2200,2295,2200,2495,2499,2500,2395,2600,2397.5,2362.5,2400,2397.5,2395,2475,2375,2350,2395,2395,2390,2395,2650,2500,2600,2725,2595,2600,2475,2525,2672.5,2700,2695,2695,2700,2900,2800,2895,2800,2962.5,2850,2695,2900,2800,2775,2625,2600,2850,3100,2972.5,2772.5,2925,2772.5,2972.5,2900,3099.5,3300,3400,3197.5,3537.5,3495,3297.5,3000,2900,2797,2799,2950,3000,3100,3195,3200,3300,3450,3300,3400,3200,3195,3175,3250,3399.5,3495,3800,3675,3600,3495
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1764.5,1795,1837.5,1750,1795,1885,2000,1800,1795,1895,1862.5,1895,1862.5,1925,1897.5,1847.5,1875,1862.5,1862.5,1850,1875,1850,1850,1850,1850,1850,1925,2000,1895,2100,2295,1975,1895,1950,1800,1949,2037.5,2050,2097.5,2147.5,2295,2270,2270,2075,1950,1900,1995,2200,2497.5,2375,2437.5,2350,2272.5,2200,2350,2250,2095,2147.5,2195,2375,2397.5,2500,2350,2395,2350
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara","06","085",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5800,5895,5717.5,5500,5525,5500,4997.5,5000,5000,4750,4797.5,4800,5325,5880,5950,5695,5500,5097.5,5200,4995,4925,5200,5270,5500,5625,5587.5,6000,5677.5
"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach","12","011",15,,,,,,,3700,3600,3350,3300,3500,3500,3500,3499,3500,3500,3500,3400,3450,3500,3600,3600,3500,3500,3600,3800,3500,3500,3700,3800,3600,3500,3500,3400,3400,3500,3500,3500,3500,3550,3599,3600,3500,3500,3500,3500,3500,3400,3500,3500,3600,3750,3670,3700,3700,3700,3699.5,3999.5,4049.5,3850,3600,3600,3897.5,3900,3875,3700,3700,3600,3700,3600,3699,3705,3800,3699,3847.5,3972.5,4000,4000,4000,3900,3900,3775,3825,4000,4000,4000,4200,4187.5,4200,4100,4200,4150,3950,3900,3775,4000,4075,4200,4199.5,4100,4200,4500,4400,4100,4474.5,4499,4500,4200,4500,4475,4500,4300,4500,4500
"Bexar County","TX","San Antonio-New Braunfels","48","029",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,1900,1900,1995,2000,2000,2000,2000,1995,2000,1995,1995,2000,2000,2122.5,1995,2000,2000,1982.5,1950,1950,2070,1872.5,1895,1800,1800,1900,1850,1800,1800,1851,1947.5,2000,1957.5
"New York County","NY","New York-Newark-Jersey City","36","061",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,9295,9000,8999,9000,8995,8100,8995,9300,9000,8608,8995,8900,9000,9325,9000,7995,7997.5,8375,7700,8123.5,8600,9999.5,9500,9046,9495,9000,9000,8023
"Philadelphia County","PA","Philadelphia-Camden-Wilmington","42","101",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2575,2500,2500,2500,2500,2500,2500,2445,2500,2400,2700,2750,2700,2637.5,2625,2700,2650,2500,2500,2500,2450,2397.5,2825,2875,2750,2625,2750,2750,2700,2637.5,2600,2525
"Alameda County","CA","San Francisco-Oakland-Hayward","06","001",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3900,3700,3347.5,3224,3290,3197.5,3250,3000,3000,3250,3600,3700,3600,3800,3572.5,3500,3500,3316.5,3250,3200,3395,3550,3475,3775,3550,3725,3497.5,3495,3460,3257.5,3150,3500,3250,3500,3400,2887.5,2800
"Middlesex County","MA","Boston-Cambridge-Newton","25","017",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3950,3950,4000,3850,3600,3600,3500,3500,3500,3500,3600,4000,4200,4200,3932.5,3875,3700,3974.5,4000,3900,4000,4200,4600,4500,4750,4750,4500,4500
